backend,stage,role,depth,ratio,rounds,n,median,min,max,values,definition
groth16,prove_ms,stage,14,doubling_cpu4_over_cpu8,1-5,5,1.37662,1.33749,1.40426,r1=1.39304;r2=1.33749;r3=1.37076;r4=1.40426;r5=1.37662,T_r(cpu4)/T_r(cpu8)
groth16,prove_ms,stage,15,doubling_cpu4_over_cpu8,1-5,5,1.39209,1.34093,1.43185,r1=1.39209;r2=1.41946;r3=1.37326;r4=1.34093;r5=1.43185,T_r(cpu4)/T_r(cpu8)
groth16,prove_ms,stage,all,doubling_cpu4_over_cpu8,1-5,11,1.40724,1.35526,1.43086,d5=1.35526;d6=1.42531;d7=1.41391;d8=1.4159;d9=1.40559;d10=1.40724;d11=1.42546;d12=1.43086;d13=1.38555;d14=1.37662;d15=1.39209,median and min-max over depths of the per-depth median (Figure 5)
groth16,verify_first_ms,stage,5,S4_cpu2_over_cpu4,1-5,5,1.65413,1.2933,2.24401,r1=1.65413;r2=2.24401;r3=1.2933;r4=2.20274;r5=1.38386,T_r(cpu2)/T_r(cpu4)
groth16,verify_first_ms,stage,6,S4_cpu2_over_cpu4,1-5,5,1.74035,1.29442,2.11783,r1=2.11783;r2=1.29442;r3=1.76538;r4=1.74035;r5=1.69533,T_r(cpu2)/T_r(cpu4)
groth16,verify_first_ms,stage,7,S4_cpu2_over_cpu4,1-5,5,1.70214,1.29873,2.22553,r1=2.22553;r2=1.3417;r3=1.29873;r4=1.70703;r5=1.70214,T_r(cpu2)/T_r(cpu4)
groth16,verify_first_ms,stage,8,S4_cpu2_over_cpu4,1-5,5,1.57293,1.50174,1.90254,r1=1.54433;r2=1.87745;r3=1.57293;r4=1.90254;r5=1.50174,T_r(cpu2)/T_r(cpu4)
groth16,verify_first_ms,stage,9,S4_cpu2_over_cpu4,1-5,5,1.62404,1.30094,2.1791,r1=1.6722;r2=1.62404;r3=2.1791;r4=1.60694;r5=1.30094,T_r(cpu2)/T_r(cpu4)
groth16,verify_first_ms,stage,10,S4_cpu2_over_cpu4,1-5,5,1.56952,1.37461,1.68539,r1=1.56952;r2=1.37461;r3=1.45003;r4=1.64319;r5=1.68539,T_r(cpu2)/T_r(cpu4)
groth16,verify_first_ms,stage,11,S4_cpu2_over_cpu4,1-5,5,1.3931,1.15417,1.70329,r1=1.3931;r2=1.32912;r3=1.4257;r4=1.70329;r5=1.15417,T_r(cpu2)/T_r(cpu4)
groth16,verify_first_ms,stage,12,S4_cpu2_over_cpu4,1-5,5,1.50536,1.38029,1.57738,r1=1.38029;r2=1.55923;r3=1.43107;r4=1.50536;r5=1.57738,T_r(cpu2)/T_r(cpu4)
groth16,verify_first_ms,stage,13,S4_cpu2_over_cpu4,1-5,5,1.35558,1.26445,1.62935,r1=1.35558;r2=1.31501;r3=1.26445;r4=1.62935;r5=1.60254,T_r(cpu2)/T_r(cpu4)
groth16,verify_first_ms,stage,14,S4_cpu2_over_cpu4,1-5,5,1.60993,1.538,2.01228,r1=1.538;r2=1.60993;r3=1.77691;r4=1.55434;r5=2.01228,T_r(cpu2)/T_r(cpu4)
groth16,verify_first_ms,stage,15,S4_cpu2_over_cpu4,1-5,5,2.06232,1.47026,2.69035,r1=2.06232;r2=1.7689;r3=2.69035;r4=2.24377;r5=1.47026,T_r(cpu2)/T_r(cpu4)
