profile_id,backend,depth,stage,role,rounds,n,median,q1,q3,iqr,min,max
cpu2,plonk,5,verify_steady_ms,stage,1-5,5,7.363,7.327,7.738,0.411,7.281,7.765
cpu2,plonk,5,wall_ms,total,1-5,5,12331.4,12078.6,12972.9,894.314,11931,13336.7
cpu2,plonk,5,stage_sum_ms,diagnostic,1-5,5,12331.4,12078.6,12972.9,894.312,11931,13336.7
cpu2,plonk,6,input_ms,stage,1-5,5,1.362,0.882,1.426,0.544,0.793,1.443
cpu2,plonk,6,witness_ms,stage,1-5,5,25.607,22.249,25.759,3.51,20.095,28.909
cpu2,plonk,6,prove_ms,stage,1-5,5,12110.3,12108.4,12232.4,123.952,11945.1,13316.2
cpu2,plonk,6,verify_first_ms,stage,1-5,5,11.2,11.127,11.402,0.275,7.742,11.727
cpu2,plonk,6,verify_steady_ms,stage,1-5,5,7.536,7.325,8.544,1.219,7.275,8.579
cpu2,plonk,6,wall_ms,total,1-5,5,12150.1,12148.7,12270.5,121.88,11976.5,13348.3
cpu2,plonk,6,stage_sum_ms,diagnostic,1-5,5,12150.1,12148.6,12270.5,121.88,11976.5,13348.2
cpu2,plonk,7,input_ms,stage,1-5,5,0.946,0.941,0.995,0.054,0.708,0.999
cpu2,plonk,7,witness_ms,stage,1-5,5,24.146,23.025,24.218,1.193,22.778,24.747
cpu2,plonk,7,prove_ms,stage,1-5,5,12228.4,12072.6,12271.6,198.957,12027.4,13309.8
cpu2,plonk,7,verify_first_ms,stage,1-5,5,9.529,9.33,10.12,0.79,9.233,12.156
cpu2,plonk,7,verify_steady_ms,stage,1-5,5,7.313,7.283,7.729,0.446,7.202,8.518
cpu2,plonk,7,wall_ms,total,1-5,5,12265.5,12106,12306.8,200.825,12060.4,13345.1
cpu2,plonk,7,stage_sum_ms,diagnostic,1-5,5,12265.5,12106,12306.8,200.811,12060.3,13345.1
cpu2,plonk,8,input_ms,stage,1-5,5,1.2,1.193,1.242,0.049,0.977,1.739
